Date,AMZN,SP500,TSLA
2013-09-05,0.156391777,0.120776168,-0.40536731
2013-09-06,0.596508294,0.005305986,-1.75737719
2013-09-09,1.292734784,0.994163831,-3.827658771
2013-09-10,0.216529896,0.731784442,3.467382604
2013-09-11,-0.240099704,0.304653893,-1.727998302
2013-09-12,-0.260743994,-0.338696378,0.85850431
2013-09-13,-0.315097032,0.271017956,0.369095449
2013-09-16,-0.626400389,0.567591279,0.626172078
2013-09-17,2.702329878,0.420749963,-0.210479301
2013-09-18,2.551171354,1.210329977,-0.006095126
2013-09-19,0.009558883,-0.184520226,6.802128107
2013-09-20,1.362127937,-0.724387609,3.028022699
2013-09-23,#VALUE!,#VALUE!,#VALUE!
2013-09-24,0.843917806,-0.260106952,0.671310263
2013-09-25,-0.472314201,-0.274377285,1.583350162
2013-09-26,1.73437716,0.347881766,1.818763374
2013-09-27,-0.665531202,-0.408266964,1.190871949
2013-09-30,-1.072202141,-0.604802782,1.285517339
2013-10-01,2.623242037,0.796617664,-0.191586292
2013-10-02,-0.137242477,-0.066743988,-6.446996266
2013-10-03,-1.810330686,-0.902024651,-4.313912674
2013-10-04,1.350576557,0.702819284,4.330435671
2013-10-07,-2.864799916,-0.854329555,1.14814905
2013-10-08,-2.2177708,-1.240902394,-4.662691598
2013-10-09,-1.662686594,0.057346761,-3.464604935
2013-10-10,2.300372923,2.15953494,2.42904641
2013-10-11,1.856988516,0.62663213,3.282134473
2013-10-14,-0.061189304,0.406589351,0.569105813
2013-10-15,-1.393698468,-0.708933753,2.320893096
2013-10-16,1.32596963,1.373225609,-0.206846705
2013-10-17,0.090139081,0.672131421,-0.414895763
2013-10-18,5.67913396,0.652685776,0.32763255
2013-10-21,-0.759931811,0.009118416,-6.069332912
2013-10-22,1.8513462,0.572056843,-0.616088018
2013-10-23,-1.753474154,-0.473630115,-4.190636336
2013-10-24,1.654046299,0.325201639,5.124684681
2013-10-25,8.970858507,0.438439291,-2.036271673
2013-10-28,-1.449767579,0.132799414,-4.090632149
2013-10-29,1.259488441,0.556729145,0.983593795
2013-10-30,-0.447794481,-0.488921923,-3.244268936
2013-10-31,0.813540479,-0.38481407,0.451051264
2013-11-01,-1.391608237,0.289702287,1.384413812
2013-11-04,#VALUE!,#VALUE!,#VALUE!
2013-11-05,0.041427678,-0.281336646,0.914366703
2013-11-06,-0.758251498,0.425372869,-15.67395709
2013-11-07,-3.607580818,-1.327180597,-7.834203385
2013-11-08,1.945561208,1.333711294,-1.310800972
2013-11-11,1.15502309,0.072157457,4.777027164
2013-11-12,-1.378150169,-0.237430176,-4.886044179
2013-11-13,1.895803239,0.806165706,0.650890914
2013-11-14,3.090181421,0.482477484,-0.796322374
2013-11-15,0.480502543,0.421205061,-1.574945286
2013-11-18,-0.813337699,-0.370614864,-10.80311821
2013-11-19,-0.339313057,-0.204615107,3.642235947
2013-11-20,-0.651647947,-0.364333189,-4.029781004
2013-11-21,1.736117931,0.809460983,0.814006169
2013-11-22,0.914588571,0.494809451,-0.591539779
2013-11-25,1.156165883,-0.126551104,-0.446013394
2013-11-26,1.247878562,0.014842363,-0.281893207
2013-11-27,1.39036456,0.248062856,5.206341108
2013-11-29,1.770955948,-0.078736784,0.2673441
2013-12-02,-0.33607854,-0.272436783,-2.473939415
2013-12-03,#VALUE!,#VALUE!,#VALUE!
2013-12-04,0.337168443,-0.130653479,-4.05506678
2013-12-05,-0.381815082,-0.435120799,1.094878153
2013-12-06,0.637557015,1.117300336,-2.246214067
2013-12-09,-0.534009036,0.18132593,3.039877289
2013-12-10,0.747808202,-0.318719065,0.41555444
2013-12-11,-1.452248532,-1.138358922,-1.80270908
2013-12-12,-0.246473624,-0.377988033,5.448324719
2013-12-13,0.78100856,-0.010333326,0.121799289
2013-12-16,1.223297325,0.629823445,0.19601925
2013-12-17,-0.340155899,-0.310799768,3.009335521
2013-12-18,2.120840033,1.650898797,-2.982705388
2013-12-19,-0.194842416,-0.058201478,-5.03070162
2013-12-20,#VALUE!,#VALUE!,#VALUE!
2013-12-23,0.178691233,0.530238508,0.216014786
2013-12-24,-0.92768587,0.291013441,5.330664742
2013-12-26,1.291557761,0.47326612,2.665269876
2013-12-27,-1.572848232,-0.033828533,-2.857311918
2013-12-30,-1.190396921,-0.018091373,0.869520869
2013-12-31,1.368270921,0.395021248,-1.327489293
2014-01-02,-0.206027485,-0.890333089,-0.219803888
2014-01-03,-0.38538353,-0.033493814,-0.360597291
2014-01-06,-0.71152339,-0.251684474,-1.726701457
2014-01-07,1.111406452,0.606142737,1.592499465
2014-01-08,0.972380156,-0.02141495,1.277104036
2014-01-09,-0.22686244,0.034633093,-2.510279639
2014-01-10,-0.839092851,0.230211255,-1.23465588
2014-01-13,-1.694286078,-1.26578843,-4.477186603
2014-01-14,1.663750085,1.075823244,14.61614076
2014-01-15,-0.421163651,0.515097133,1.757683794
2014-01-16,-0.017877686,-0.134994617,4.082738796
2014-01-17,0.957811329,-0.390469841,-0.563279088
2014-01-21,#VALUE!,#VALUE!,#VALUE!
2014-01-22,-0.618727498,0.057278196,1.058265896
2014-01-23,-1.16130774,-0.893124235,1.632897315
2014-01-24,-3.116750409,-2.10983393,-3.875995783
2014-01-27,-0.341332079,-0.48901394,-2.893886301
2014-01-28,#VALUE!,#VALUE!,#VALUE!
2014-01-29,-2.628030324,-1.026362181,-1.781857076
2014-01-30,4.779620097,1.120212643,4.251013775
2014-01-31,-11.65042589,-0.648765975,-0.785316016
2014-02-03,-3.558741738,-2.309770049,-2.398974971
2014-02-04,0.518526613,0.761067352,0.910382469
2014-02-05,-0.432137896,-0.2031378,-2.441117201
2014-02-06,2.32222686,1.236168455,2.244855321
2014-02-07,1.813650134,1.321337168,4.467518393
2014-02-10,-0.05828315,0.156690875,5.237454827
2014-02-11,0.254509317,1.100027995,0.030413327
2014-02-12,-3.527705563,-0.027039441,-0.663483966
2014-02-13,2.25065146,0.579184196,2.182504468
2014-02-14,#VALUE!,#VALUE!,#VALUE!
2014-02-18,-1.040909983,0.115670757,2.721930373
2014-02-19,-1.788950639,-0.654695779,-5.064867732
2014-02-20,0.694113637,0.601224578,8.096275277
2014-02-21,-0.872969733,-0.19216624,-0.176483071
2014-02-24,1.437168066,0.61660855,3.768597043
2014-02-25,1.841911421,-0.134996041,13.0539091
2014-02-26,0.412073084,0.002060382,1.995964747
2014-02-27,0.091625515,0.493533353,-0.182036494
2014-02-28,0.545479414,0.277827628,-3.108773983
2014-03-03,-0.642907245,-0.740723622,2.321460261
2014-03-04,1.138471354,1.5150679,1.693582099
2014-03-05,2.300696425,-0.005527025,-0.859306425
2014-03-06,-0.056600792,0.171501531,0.110567722
2014-03-07,-0.027094564,0.053575292,-2.696966738
2014-03-10,-0.41226336,-0.046527139,-3.039285488
2014-03-11,-0.462704116,-0.50964668,-1.87235645
2014-03-12,0.492117259,0.030375431,2.97549756
2014-03-13,0.234370512,-1.177091342,-1.544097608
2014-03-14,0.598398518,-0.28263144,-2.910062619
2014-03-17,#VALUE!,#VALUE!,#VALUE!
2014-03-18,0.989505086,0.719231241,2.556852244
2014-03-19,-1.473589444,-0.615216868,-1.765361133
2014-03-20,-1.14809083,0.60209641,-0.395253817
2014-03-21,-2.289195401,-0.293834985,-2.596225055
2014-03-24,-2.462116288,-0.487795129,-3.884293344
2014-03-25,0.809419352,0.439290114,0.122422661
2014-03-26,-3.237681846,-0.702630654,-3.452261039
2014-03-27,-1.449071105,-0.190298749,-2.684190962
2014-03-28,-0.053329256,0.462811935,2.406512561
2014-03-31,-0.569318255,0.789150168,-1.863220243
2014-04-01,1.948816349,0.701331833,4.005856798
2014-04-02,-0.300916206,0.284761953,5.957860053
2014-04-03,-2.469250896,-0.112845461,-2.146408644
